twitter,domain,name,type,gender
dumbassgenius,rickrosner.com,Rick G. Rosner,celebrity,M
NellyFurtado,nellyfurtado.com,Nelly Furtado,celebrity,F
kuyakim_atienza,,kim atienza,celebrity,M
nikkigil,,Nikki Gil,celebrity,F
maddow,rachel.msnbc.com,Rachel Maddow MSNBC,celebrity,F
questlove,itunes.apple.com,Questlove Gomez,celebrity,M
YUVSTRONG12,youwecan.com,yuvraj singh,celebrity,M
TravieMcCoy,traviemccoy.com,Travie McCoy,celebrity,M
LaurenConrad,laurenconrad.com,Lauren Conrad,celebrity,F
21LVA,davidjimenezsilva.com,David Silva,celebrity,M
CaioCastro,,Caio Castro,celebrity,M
brookeburke,,Brooke Burke-Charvet,celebrity,F
MrPeterAndre,peterandre.com,Peter Andre,celebrity,M
ToniKroos,toni-kroos.com,Toni Kroos,celebrity,M
GiulianaRancic,giulianarancic.com,Giuliana Rancic,celebrity,F
JoeyEssex_,FuseyOfficial.com,Joey Essex,celebrity,M
heidiklum,heidiklum.com,Heidi Klum,celebrity,F
lala,amzn.to,LA LA,celebrity,F
GemmaAnneStyles,gemmastyles.com,Gemma Styles,celebrity,F
RobertsEmma,,Emma Roberts,celebrity,F
BustaRhymes,,Busta Rhymes,celebrity,M
NathanFillion,,Nathan Fillion,celebrity,M
pattiemallette,pattiemallette.com,Pattie Mallette,celebrity,F
6BillionPeople,MarquisTrill.com,MarQuis Trill,celebrity,M
TheMattEspinosa,CREATIVECOLLABTOUR.com,Matthew Espinosa,celebrity,M
blakegriffin23,blakegriffin.com,Blake Griffin,celebrity,M
danawhite,ufc.com,Dana White,celebrity,M
Sethrogen,hilarityforcharity.org,Seth Rogen,celebrity,M
andy_murray,andymurray.com,Andy Murray,celebrity,M
JohnBishop100,johnbishoponline.com,John Bishop,celebrity,M
ceracoat,ceracoat.me,Dr Elio Keller,celebrity,M
DavidKWilliams,fishbowlinventory.com,DavidKWilliams,celebrity,M
michkeegan,,michelle keegan,celebrity,F
deadmau5,live.deadmau5.com,deadmau5,celebrity,M
BRUNOIERULLO,brunoierullo.com,BRUNO IERULLO,celebrity,M
themichaelowen,michaelowen.com,michael owen,celebrity,M
DrakeBell,drakebell.com,Drake Bell,celebrity,M
AnselElgort,,Ansel Elgort,celebrity,M
SaraBareilles,sarabmusic.com,Sara Bareilles,celebrity,F
sethmeyers,,Seth Meyers,celebrity,M
JanetJackson,janetjackson.com,Janet Jackson,celebrity,F
paugasol,paugasol.com,Pau Gasol,celebrity,paugasol,M
billmaher,billmaher.com,Bill Maher,celebrity,M
VINNYGUADAGNINO,podcastone.com,Vinny Guadagnino,celebrity,M
MsLeaSalonga,leasalonga.com,Lea Salonga,celebrity,F
jack,,Jack,celebrity,M
ilovegeorgina,,Georgina Wilson,celebrity,F
Tyrese,smarturl.it,Vision Implementer,celebrity,M
DaneCook,,Dane Cook,celebrity,M
JerrySeinfeld,jerryseinfeld.com,Jerry Seinfeld,celebrity,M
geneliad,,Genelia Deshmukh,celebrity,F
D_Copperfield,davidcopperfield.com,David Copperfield,celebrity,M
RealTracyMorgan,,Tracy Morgan,celebrity,M
drdrew,drdrew.com,Dr Drew,celebrity,M
1LoganHenderson,,Logan Henderson,celebrity,M
Ibra_official,,Zlatan Ibrahimović,celebrity,M
common,thinkcommon.com,COMMON,celebrity,M
DaRealAmberRose,amberroseeyewear.com,Amber Rose,celebrity,F
Asli_Jacqueline,,Jacqueline Fernandez,celebrity,F
Benzema,carbu.link,Karim Benzema,celebrity,M
MarthaStewart,themarthablog.com,Martha Stewart,celebrity,M
jamesmaslow,sherlockholmesonstage.com,James Maslow,celebrity,M
oscar8,,Oscar,celebrity,M
DavidHenrie,,David Henrie,celebrity,M
Caspar_Lee,youtube.com,Caspar Lee,celebrity,M
steveaoki,smarturl.it,Steve Aoki,celebrity,M
DaniellePeazer,youtube.com,Danielle Peazer,celebrity,F
JHarden13,,James Harden,celebrity,M
shrutihaasan,myspace.com,shruti haasan,celebrity,F
Joey7Barton,joeybarton.com,Joseph Barton,celebrity,M
MirzaSania,saniamirzatennisacademy.com,Sania Mirza,celebrity,F
steveaustinBSR,,Steve Austin,celebrity,M
ninagarcia,ninagarcia.com,Nina Garcia,celebrity,F
Imaginedragons,imaginedragonsmusic.com,Imagine Dragons,celebrity,M
HayesGrier,,Hayes Grier,celebrity,M
shaymitch,us.macmillan.com,Shay Mitchell,celebrity,F
troyesivan,troye.si,Troye Sivan,celebrity,M
ReggieBush,ReggieBush.com,Reggie Bush,celebrity,M
Metallica,metallica.com,Metallica,celebrity,M
bhogleharsha,,Harsha Bhogle,celebrity,M
GNev2,,Gary Neville,celebrity,M
StephenCurry30,Stephencurry30.com,Stephen Curry,celebrity,M
TimTebow,timtebow.com,Tim Tebow,celebrity,M
LewisHamilton,lewis.social,Lewis Hamilton,celebrity,M
jhutch1992,joshhutcherson.com,Josh Hutcherson,celebrity,M
bomanirani,,Boman Irani,celebrity,M
lenadunham,lennyletter.com,Lena Dunham,celebrity,F
LeighFrancis,leighfrancis.tv,Leigh Francis,celebrity,M
FLOTUS,whitehouse.gov,The First Lady,celebrity,F
theweeknd,theweeknd.co,The Weeknd,celebrity,M
PearlJam,pearljam.com,Pearl Jam,celebrity,M
ShawnMichaels,TheShawnMichaels.com,Shawn Michaels,celebrity,M
TheVampsband,po.st,The Vamps,celebrity,M
IAmSteveHarvey,iamsteveharvey.com,Steve Harvey,celebrity,M
ABdeVilliers17,abdevilliers.com,AB de Villiers,celebrity,M
ErinAndrews,erinandrews.com,Erin Andrews,celebrity,F
sardesairajdeep,rajdeepsardesai.net,Rajdeep Sardesai,celebrity,M
wilw,wilwheaton.net,Wil SCREAMton,celebrity,M
prattprattpratt,,chris pratt,celebrity,M
itsgabrielleu,,Gabrielle Union,celebrity,F
iSonuNigam,sonunigam.in,Sonu Nigam,celebrity,M
Jason_Aldean,jasonaldean.com,Jason Aldean,celebrity,M
MikaSingh,mikasingh.in,King Mika Singh,celebrity,M
ChrisEvans,,Chris Evans,celebrity,M
jimmyeatworld,jimmyeatworld.com,Jimmy Eat World,celebrity,M
MarkWright_,,Mark Wright,celebrity,M
cher,cher.com,Cher,celebrity,F
Alyssa_Milano,Alyssa.com,Alyssa Milano,celebrity,F
ThatKevinSmith,smodcast.com,KevinSmith,celebrity,M
MarioGoetze,mario-goetze.com,Mario Götze,celebrity,M
BDUTT,,barkha dutt,celebrity,F
thebeatles,thebeatles.com,The Beatles,celebrity,M
MagicJohnson,,Earvin Magic Johnson,celebrity,M
BSchweinsteiger,bastian-schweinsteiger.de,Basti Schweinsteiger,celebrity,M
KP24,,Kevin Pietersen,celebrity,M
ashleesimpson,ashleesimpsonmusic.com,Ashlee Simpson Ross,celebrity,F
drdre,drdre.com,Dr. Dre,celebrity,M
KatGraham,katgraham.com,Kat Graham,celebrity,F
elonmusk,,Elon Musk,celebrity,M
markwahlberg,,Mark Wahlberg,celebrity,M
MissyElliott,,Missy Elliott,celebrity,F
PointlessBlog,YouTube.com,Alfie Deyes,celebrity,M
ImRo45,,Rohit Sharma ,celebrity,M
macklemore,DowntownTheSong.com,Macklemore,celebrity,M
TheRealMikeEpps,mikeepps.com,Mike Epps,celebrity,M
thekillers,thekillersmusic.com,The Killers,celebrity,M
markhoppus,himynameismark.com,Dadcula,celebrity,M
LizGillies,youtube.com,Elizabeth Gillies,celebrity,F
notch,notch.net,Markus Persson,celebrity,M
radioleary,johnnoel.com,"Dermot O'Leary",celebrity,M
russwest44,,Russell Westbrook,celebrity,M
henrylau89,,Henry Lau,celebrity,M
Trevornoah,trevornoah.com,Trevor Noah,celebrity,M
rampalarjun,,arjun rampal,celebrity,M
